"Prüfungsteilnehmer-ID";"Seriennummer";"Welche Aussagen treffen für diesen Screenshot vom Oszilloskop zu? (5P)";"Welche mathematischen Funktionen beschreiben den dargestellten Verlauf auf dem Oszilloskop? (4P)";"Im Versuch 1 haben Sie auf dem Versuchsboard mehrere Verstärkerschaltungen (OPVs). An einer dieser Verstärkerschaltungen könnten Sie direkt folgende Signale gemessen haben. An Kanal 1 ist das Signal nach dem Verstärker und an Kanal 2 ist das Signal vor dem Verstärker dargestellt. Wie groß ist die Verstärkung des OPV? (2P)";"Welche der genannten Aussagen (Ursachen) können dafür sorgen das kein 'stehendes Bild', wie hier im einem Beispiel zu sehen, am Oszilloskop erzeugt wird? (3P)";"Worauf und an welcher Position wird hier getriggert? (2P)";"Im Versuch 2 haben Sie verschiedene Signalformen mit der FFT (Fast Fourier Transform) analysiert. Auf dem Screenshot sehen Sie so eine Analyse. Welche Signalform mit welcher Frequenz wird hier dargestellt? (2P, 1A)";"Im Versuch 2 haben Sie verschiedene Signalformen mit der FFT (Fast Fourier Transform) analysiert. Auf dem Screenshot sehen Sie so eine Analyse. Welche Signalform mit welcher Frequenz wird hier dargestellt? (4P, 1A)";"Mit der FFT können Sie auch Signale mit Gleichanteil untersuchen. Im folgenden Screenshot ist ein Signal mit 20 kHz Grundfrequenz dargestellt. Um welche Signalform handelt es sich? (2P, 1A)";"Welche Aussagen über das Maximum, Minimum und der entsprechenden Signalamplitude für das Maximum treffen hier zu? (4P, 3A)";"Im Versuch 1 wie auch im Versuch 2 werden Signale gefiltert. Hier sollen Sie einen Filter aufbauen/auslegen der die gegebenen Bedingungen erfüllt! (8P, 1A)";"Berechnen Sie den Crest/Scheitelfaktor des gegebenen Signals! (2P, 1A)";"Im Versuch 3 haben Sie sich mit Messunsicherheiten beschäftigt. Nehmen Sie an, sie haben einen Widerstand mit dem Farbcode 'orange|grau|gelb|braun|rot' zehn mal vermessen und folgende normalverteilte Messwerte (Tabelle 1) ohne systematischen Fehler erhalten. Geben Sie für diesen Widerstand ein Messergebnis nach GUM mit einem Konfidenzintervall von 95% an. (6P)";"Nehmen Sie jetzt an, dass die zehn Messwerte aus Tabelle 1 nun von zehn verschiedenen Widerständen stammen. Hat der Hersteller der Widerstände seine angegebene Toleranz eingehalten? (2P)";"Um welche Messbrücke betreffend der Diagonalspannung UD,1,2,3 handelt es sich? (3P)";"Welche Aussagen zur gegebenen Wheatstonebrücke treffen bezüglich der Spannungsgespeisten Diagonalspannung UD,u und Stromgespeisten Diagonalspannung UD,i zu? (6P, 2A)";"Wie groß ist das SNR für einen 16 Bit Wandler? (1P)";"Bei der Analog-Digitalwandlung werden mehrere Schritte durchgeführt. In Abbildung 2 sehen Sie von diesen Schritten Screenshots des entprechenden Signals. Ordnen Sie die Begriffe quantisiertes, analoges, abgetastetes, gefiltertes und interpoliertes Signal den Screenshots 1 bis 5 richtig zu. (5P)";"Bringen Sie die Schritte aus der Aufgabe 6.2 in die richtige Reihenfolge so das ein Signal AD-gewandelt werden kann. (2P, 1A)";"Ein Ultraschallsignal wurde mit dem Oszilloskop aufgezeichnet. Wird der Ultraschallwandler in Resonanz betrieben? (1P)";"Welches Aussagen treffen für den aus Matlab geplotteten Datensatz einer Admittanzmessung des Ultraschalwandlers zu? (4P)";"Auf dem Oszilloskop Screenshot die Signale einer Ultraschallwandlerstrecke zu sehen. Kanal 1 zeigt das Signal vom Funktionsgenerator mit Sender und Kanal 2 Signal vom Empfänger. Beide beide Wandler stehen sich, wie im Versuch 6, direkt gegenüber Pitch-Catch (ohne reflektierende Wand). Berechnen Sie den Abstand der beiden Wandler anhand der Informationen aus dem Screenshot. (4P, 1A)";"Note";"Summe Punkte";
2365824;35;0;4;0;3;2;2;0;2;0;8;2;1,5;2;3;0;1;5;2;1;4;4;3,0;46,5;
2019837;36;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;5,0;6;
2019523;37;0;0;0;3;2;0;0;0;0;8;0;0,5;2;3;0;0;0;2;1;0;0;5,0;21,5;
2085609;38;0;0;0;0;2;2;4;0;0;8;0;0;0;3;0;0;5;2;1;4;0;5,0;31;
2251695;39;5;0;0;0;2;2;4;2;0;8;0;6;2;3;0;0;5;2;1;4;4;2,7;50;
2522968;40;0;0;0;0;2;0;0;2;0;8;0;2;2;3;0;0;0;2;1;0;0;5,0;22;
1605349;41;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;5,0;4;
2238964;45;0;0;0;0;2;0;0;2;0;8;2;0;2;3;0;0;0;0;1;0;0;5,0;20;
2507336;46;5;0;0;3;0;0;0;2;0;0;0;1;0;3;0;0;5;2;1;0;0;5,0;22;
1422988;47;5;0;0;3;2;2;4;2;0;0;2;5;0;3;0;1;0;0;1;0;4;5,0;34;
2264556;48;0;0;0;0;2;0;0;0;0;0;0;6;0;3;6;1;5;2;1;0;0;5,0;26;
1098367;49;0;0;0;0;2;2;0;0;0;8;0;6;2;3;6;1;0;0;1;0;0;5,0;31;
2428745;50;5;0;0;3;2;2;4;2;0;8;0;3;0;3;6;0;0;2;1;0;0;3,7;41;
2340344;51;0;0;0;0;2;2;4;2;0;8;0;2;0;3;0;0;5;2;0;4;0;5,0;34;
2324577;52;0;0;0;0;2;0;4;2;0;8;0;3;0;3;6;0;0;2;1;0;4;5,0;35;
2426378;53;5;0;2;0;2;2;4;0;0;8;2;6;2;3;6;1;5;2;1;4;4;2,0;59;
1801266;54;5;0;0;0;2;2;0;0;0;8;0;3;0;3;0;1;0;2;1;0;0;5,0;27;
1669042;55;5;0;0;0;2;2;0;0;0;8;0;5;2;3;6;1;0;2;1;0;0;4,0;37;
2138145;56;5;0;0;0;2;0;0;0;0;8;2;2;2;3;0;1;0;2;1;0;0;5,0;28;
2302573;57;0;0;0;0;2;2;0;0;0;8;0;5;2;3;6;1;0;2;1;0;0;5,0;32;
2048989;58;0;0;0;0;0;2;0;2;0;0;0;0;0;3;0;1;0;0;1;0;0;5,0;9;
2048206;59;0;0;0;0;2;0;0;0;0;0;0;0;2;3;0;1;0;0;1;0;0;5,0;9;
2377867;60;5;0;0;0;2;2;4;2;0;8;0;3;2;3;0;0;0;2;1;0;0;5,0;34;
2343493;61;0;0;0;3;2;0;0;2;0;8;0;6;2;3;0;0;0;2;1;4;0;5,0;33;
2530358;62;5;0;0;0;2;0;0;2;0;8;0;2,5;2;3;6;1;0;0;1;0;0;5,0;32,5;
2283825;63;5;0;0;0;2;2;0;2;0;8;0;0,5;0;3;0;1;0;2;1;0;0;5,0;26,5;
1804522;64;5;0;0;0;2;2;4;2;0;8;0;6;0;3;6;1;0;2;1;4;4;2,7;50;
2240017;65;5;0;0;3;2;2;0;2;0;8;0;3;2;3;6;1;0;2;1;0;4;3,3;44;
2286301;66;0;0;0;3;2;2;4;2;0;8;0;6;0;3;0;1;0;2;1;0;0;5,0;34;
2332970;67;5;0;0;0;2;2;4;2;0;8;0;1,5;0;3;6;1;0;2;1;0;4;3,7;41,5;
2051756;68;0;0;0;0;2;2;4;0;0;0;0;6;0;3;0;1;0;2;1;0;4;5,0;25;
2348210;69;0;4;2;0;2;2;4;2;0;8;0;3;2;3;0;1;0;2;1;4;4;3,3;44;
2451589;70;5;0;2;3;0;2;4;2;0;8;2;2,5;2;3;6;1;0;0;1;0;0;3,3;43,5;
2432016;71;0;0;0;3;2;2;4;2;0;8;0;4;2;3;0;1;0;0;1;0;0;5,0;32;
2422657;72;5;0;0;0;2;0;0;0;0;8;0;6;2;3;0;1;0;2;1;0;0;5,0;30;
1824298;73;0;0;0;0;2;0;0;0;0;0;0;1;0;3;0;1;0;0;1;0;0;5,0;8;
2010331;74;0;0;0;3;2;0;0;0;0;0;0;3;2;3;0;0;0;2;1;0;0;5,0;16;
1832811;75;5;0;0;0;2;0;0;2;0;8;2;3;0;3;0;0;0;0;1;0;0;5,0;26;
2269085;76;0;0;0;0;2;0;0;2;4;0;0;1,5;0;3;0;1;0;0;1;4;0;5,0;18,5;
2369697;77;5;4;0;0;2;2;4;2;0;8;0;2,5;0;3;6;0;0;2;1;4;4;2,7;49,5;
2423766;78;5;0;0;3;2;2;4;2;0;8;0;1;0;3;0;0;0;2;1;0;0;5,0;33;
2274960;79;0;0;0;0;2;0;0;0;0;8;0;0;0;0;0;0;0;2;0;4;0;5,0;16;
2417976;80;5;0;0;0;2;0;0;2;0;8;0;2;0;3;0;1;0;2;1;4;4;5,0;34;
2997535;81;5;0;0;0;0;0;0;2;0;8;0;5,5;0;3;0;1;0;0;1;0;4;5,0;29,5;
2931708;82;5;4;0;0;2;2;0;2;0;8;0;3;2;3;0;0;5;2;1;4;4;3,0;47;
2969686;83;5;0;0;3;2;2;4;2;0;8;2;5;0;3;6;1;0;2;1;4;4;2,3;54;
2992886;84;0;0;0;0;2;0;0;2;0;8;0;2,5;0;3;6;1;0;0;1;0;0;5,0;25,5;
2923813;85;0;0;0;0;2;2;4;2;0;8;0;5,5;0;3;0;1;5;2;1;0;0;5,0;35,5;
2987901;88;0;0;0;3;2;0;0;0;0;0;0;2;2;3;0;0;0;0;1;0;0;5,0;13;
2928740;89;5;0;0;3;2;2;4;2;4;8;0;2;0;3;6;0;0;0;1;0;0;3,7;42;
2924197;90;5;0;0;0;2;2;4;2;0;8;0;4;2;3;0;1;0;2;1;0;0;4,0;36;
2984289;91;0;0;0;0;2;2;0;2;0;0;0;2;2;3;0;0;0;2;1;0;0;5,0;16;
2978871;92;5;0;0;0;2;2;4;2;0;8;0;5,5;0;3;6;1;5;2;1;0;4;2,7;50,5;
2961833;93;5;0;0;0;2;2;0;0;0;8;0;4;2;3;0;1;5;2;1;0;0;5,0;35;
2969275;94;0;0;0;3;2;2;0;2;0;8;0;6;0;3;6;1;0;2;1;0;4;3,7;40;
2976679;95;5;0;0;0;2;2;4;2;0;8;0;3;0;3;6;0;0;2;1;0;4;3,7;42;
2926991;96;5;0;0;0;2;2;0;2;0;8;0;6;2;3;6;1;0;2;1;0;4;3,3;44;
2778628;98;0;0;0;0;2;2;0;2;0;8;2;5;2;3;0;0;0;2;1;0;0;5,0;29;
2721756;99;0;0;0;3;2;2;4;2;0;0;2;2;0;3;0;1;5;2;1;0;4;5,0;33;
2716664;100;5;4;0;0;2;2;0;2;0;8;0;5;0;3;6;0;5;2;1;0;4;3,0;49;
2798682;101;5;0;0;0;2;2;4;0;0;8;0;3;0;3;0;1;0;2;1;4;0;5,0;35;
2899756;102;5;0;0;3;0;2;4;2;0;8;0;5;2;3;0;0;0;0;1;4;0;4,0;39;
2890991;103;5;0;0;3;2;0;0;0;0;8;0;1,5;2;3;6;0;0;2;1;0;0;5,0;33,5;
2841571;104;0;0;0;0;2;0;4;2;0;8;2;5;2;3;6;0;0;0;1;0;4;4,0;39;
2913658;105;5;0;0;0;2;2;0;2;0;0;0;5;0;3;6;1;5;2;1;0;0;5,0;34;
2757801;106;5;0;0;3;2;0;0;2;0;0;0;5,5;0;3;6;1;0;2;1;0;0;5,0;30,5;
2760652;107;0;0;0;3;2;2;4;0;0;8;0;4;0;3;0;0;0;2;1;0;0;5,0;29;
2757607;108;5;0;0;0;2;2;0;0;0;8;2;1;2;3;0;0;0;2;1;0;0;5,0;28;
2811349;109;5;0;0;0;2;2;4;2;0;8;0;5;2;3;0;1;5;2;1;0;4;3,3;46;
2767587;110;5;4;0;3;2;2;4;2;4;8;0;6;2;3;0;1;0;0;1;4;0;2,7;51;
2837938;111;0;0;0;0;2;0;0;0;0;8;2;0;0;3;0;1;0;0;1;0;0;5,0;17;
2878081;112;5;0;0;3;2;2;4;2;0;8;0;4;2;3;6;1;5;2;1;0;4;2,3;54;
2889575;113;0;0;0;0;2;2;4;2;0;8;0;1,5;0;3;0;1;0;0;1;0;4;5,0;28,5;
2779300;114;0;4;0;0;2;2;4;2;0;8;2;5;0;3;6;1;0;2;1;0;0;3,7;42;
2802963;115;5;0;0;0;2;2;4;2;0;8;0;6;0;3;0;1;0;2;1;0;4;3,7;40;
2732981;116;5;0;0;0;0;2;4;2;0;8;0;3;0;3;0;1;0;0;1;0;4;5,0;33;
2799966;117;5;0;0;0;2;0;4;2;4;8;0;2,5;2;3;0;1;5;2;1;0;0;3,7;41,5;
2758855;118;5;0;0;3;2;0;0;0;0;8;0;3;0;3;0;0;0;2;1;0;0;5,0;27;
2787541;119;5;0;0;0;2;2;0;2;0;8;2;5;0;3;0;1;0;2;1;4;4;3,7;41;
2735506;120;0;4;0;0;2;2;0;2;0;8;2;2,5;2;3;0;0;0;2;1;0;0;5,0;30,5;
2911511;121;5;4;0;3;2;2;4;2;0;8;0;5,5;0;3;6;1;5;2;1;4;4;1,7;61,5;
2811640;122;5;0;0;0;2;0;0;0;0;8;2;2;0;3;0;1;0;2;1;0;4;5,0;30;
2875453;123;5;0;0;0;0;2;0;0;0;8;0;2,5;0;3;0;0;0;0;1;0;0;5,0;21,5;
2980429;124;5;0;0;3;2;0;0;2;0;8;0;5;2;3;0;0;0;0;1;0;4;5,0;35;
2829124;128;5;0;0;0;2;2;4;0;0;8;0;5;2;3;6;1;0;2;1;4;4;3,0;49;
2778482;129;0;0;0;0;2;0;0;2;0;0;0;5;0;3;0;1;0;2;1;0;4;5,0;20;
2761198;130;0;0;0;0;2;2;4;2;0;8;0;1,5;0;3;0;0;0;2;1;0;0;5,0;25,5;
2806888;131;5;0;0;0;2;2;0;0;0;8;0;3;0;3;6;1;5;2;1;4;4;3,3;46;
2820660;132;5;0;0;3;2;2;4;2;0;8;0;2;2;3;6;1;5;2;1;0;0;3,0;48;
2784777;133;5;0;0;0;2;2;4;2;0;8;2;4,5;2;3;0;1;0;2;1;4;4;3,0;46,5;
2837996;134;5;4;0;3;2;0;0;0;0;8;0;5,5;0;3;0;1;0;2;1;0;0;5,0;34,5;
2805708;135;0;0;0;3;2;0;0;2;0;8;2;5,5;0;3;6;1;5;2;1;0;0;3,7;40,5;
2845195;136;0;0;0;3;2;0;0;0;0;0;2;1;2;3;0;0;0;2;1;0;0;5,0;16;
2619538;137;0;4;0;0;2;2;0;2;0;8;2;3;0;3;6;1;0;2;1;0;0;4,0;36;
2704362;138;0;0;0;3;2;2;4;2;0;8;0;5,5;0;3;0;1;0;2;1;4;4;3,7;41,5;
2694317;139;5;0;0;0;2;2;4;2;0;8;2;5,5;0;3;6;1;0;2;1;0;0;3,3;43,5;
2549695;140;5;0;0;0;2;2;4;2;0;8;0;6;0;3;0;1;0;2;1;0;4;3,7;40;
2610841;141;0;0;0;3;2;0;0;0;0;8;0;4,5;0;3;0;1;0;2;1;0;0;5,0;24,5;
2608947;142;0;0;0;0;2;2;4;0;0;0;0;0;0;3;6;0;0;2;1;0;0;5,0;20;
2560959;143;5;0;0;3;2;2;4;2;0;8;2;5,5;0;3;6;1;5;2;1;0;0;2,7;51,5;
2585798;144;5;4;0;0;2;2;0;0;0;8;0;5;0;3;6;0;0;2;1;0;0;4,0;38;
2700162;145;0;0;2;0;2;0;0;0;0;0;0;3;2;3;0;0;0;0;1;0;0;5,0;13;
2690434;146;0;0;0;0;2;2;4;2;4;0;0;0;2;3;0;0;0;2;1;0;4;5,0;26;
2590864;147;5;0;0;3;2;2;4;2;0;8;0;1;0;3;6;1;0;2;1;0;0;3,7;40;
2584087;148;0;0;2;0;2;2;4;2;0;8;0;3,5;0;3;0;1;0;2;1;0;4;5,0;34,5;
2666581;149;0;0;0;3;2;2;0;2;0;8;2;0;0;3;0;1;5;2;1;0;0;5,0;31;
2663458;150;0;0;0;0;0;2;0;2;0;8;0;1,5;2;3;0;0;0;0;1;0;0;5,0;19,5;
2622088;151;0;0;0;0;2;2;0;0;0;8;0;5;2;3;6;1;0;2;1;0;0;5,0;32;
2554391;152;5;0;2;0;2;2;4;2;0;8;2;6;0;3;6;1;0;2;1;4;4;2,3;54;
2668958;153;5;0;0;0;0;0;4;0;0;8;0;0;0;3;0;0;0;0;1;0;4;5,0;25;
2635363;154;5;0;2;3;2;2;0;2;0;8;2;2;0;3;6;1;0;2;1;0;4;3,3;45;
2603968;155;5;0;0;0;2;2;0;2;0;0;0;5;2;3;6;1;0;2;1;4;4;4,0;39;
2632625;156;5;0;0;0;2;2;4;2;0;8;0;6;0;3;0;1;5;2;1;0;4;3,3;45;
2666060;157;0;0;0;0;2;2;4;2;0;8;0;5;0;3;0;1;5;2;1;4;4;3,3;43;
2571184;158;5;4;0;0;2;2;4;2;0;8;2;5;2;3;6;0;0;2;1;4;0;2,7;52;
2602118;160;0;0;0;0;2;2;0;2;0;8;2;5;2;3;0;1;0;2;1;0;4;5,0;34;
2581417;161;0;0;0;3;2;2;4;0;0;8;0;5,5;2;3;0;1;5;2;1;0;0;4,0;38,5;
2605704;162;5;0;0;3;2;2;0;0;0;8;0;3;2;3;0;0;0;2;1;4;0;5,0;35;
2660545;163;0;0;0;3;0;2;4;0;4;8;0;5;0;3;0;1;0;0;1;0;0;5,0;31;
2646572;164;0;4;0;3;2;2;4;2;4;8;2;2,5;2;3;0;1;5;0;1;0;4;2,7;49,5;
2543358;165;0;0;0;3;2;0;0;2;0;8;0;2;2;3;0;1;0;2;1;0;4;5,0;30;
2589037;166;0;0;0;0;2;0;0;0;0;8;2;1;0;3;0;0;0;0;1;0;0;5,0;17;
2562711;167;0;0;0;3;2;2;0;2;0;8;0;2,5;0;3;0;0;0;0;1;0;0;5,0;23,5;
2594912;168;5;0;0;3;2;0;4;2;0;0;2;4,5;0;3;0;0;0;0;1;0;0;5,0;26,5;
2629612;171;0;0;0;3;0;0;0;2;0;8;2;6;0;3;0;1;0;2;1;0;4;5,0;32;
2546847;172;5;0;0;0;2;2;0;2;0;0;0;5;0;3;0;0;0;2;1;0;4;5,0;26;
2646255;173;5;0;2;3;2;2;4;2;0;8;0;5;2;3;6;1;5;2;1;0;4;2,0;57;
2605908;174;5;0;0;3;2;2;4;0;0;8;0;5,5;0;3;6;1;0;2;1;0;0;3,3;42,5;
2612373;175;0;0;2;3;2;2;4;2;0;8;0;5;0;3;0;1;0;2;1;0;0;5,0;35;
2619965;176;5;4;2;0;0;2;4;2;0;8;0;5;0;3;0;0;5;2;1;4;4;2,7;51;
2621788;177;0;0;0;0;2;2;0;2;0;8;2;5;2;3;0;0;0;2;1;0;0;5,0;29;
2679316;178;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;5,0;6;
2699037;179;0;0;0;0;0;2;0;0;0;0;0;0,5;0;0;0;1;0;0;1;0;4;5,0;8,5;
2593298;180;5;4;2;0;2;2;4;2;0;0;2;4;0;3;0;1;0;0;1;4;0;4,0;36;
2630407;181;5;0;0;3;2;2;0;2;4;8;0;5;2;3;6;1;0;2;1;4;4;2,3;54;
2631192;182;5;4;0;3;2;2;0;2;0;8;2;4;2;3;6;1;0;2;1;4;4;2,3;55;
